Index,Síntomas (Coloraciones de la planta),Sintomas (Tejido muerto),Síntomas (Estado de la hoja),Síntomas (Metabolismo de la planta)
0,Amarillamiento de las hojas viejas cercanas a la base de la planta: ,"Pequeños puntos negros en la hoja, o partes de tejido muerto: ",Hoja inusualmente rígida y quebradiza: ,Crecimiento desacelerado o detenido: 
1,Amarillamiento de las hojas maduras y jóvenes: ,Puntos negros necróticos en las puntas de las yemas: ,Hojas torcidas o malformadas:,Tallos marcadamente delgados o leñosos: 
2,Coloración verde oscuro en las hojas: ,Puntos negros necróticos en la base de la hoja: ,Hojas con puntas enrolladas:,Maduración de la planta retrasada: 
3,Coloración purpura en hojas o tallos: ,Muerte de hojas viejas: ,Marchitez en la punta de las hojas:,Plantas débiles y más propensas a irse de lado: 
4,"Coloración amarilla entre las 'venas' de la planta, pero no en las venas

de la planta(hojas jóvenes):
 ",Puntos negros necróticos en hojas viejas (principalmente):,Marchitez de la hoja completa:,Plantas atacadas fácilmente por hongos en las hojas: 
5,"Coloración amarilla entre las 'venas' de la planta, pero no en las venas

de la planta (hojas viejas principalmente):
 ",Puntos negros necroticos en las puntas de la hojas: ,,Planta altamente ramificada y con ápices necróticos:
6,"Hojas totalmente blanquecinas, o hojas con coloración blanca:
","Muerte prematura de hojas: 
",,Caída prematura de las hojas: 
7,"Puntos amarillos en bordes de las hojas 

(en hojas maduras principalmente):","puntos necróticos en las puntas de las hojas, en los bordes y 

entre las venas de la planta (en hojas maduras principalmente):",,Flores estériles: 
8,,,,No hay formación de flores: 
9,,,,"Plantas con espacios entre rama y rama (respecto al tallo)

 anormalmente cortos:
"
10,,,,"Espacio entre ramas  (respecto al tallo) anormalmente corto y con

tendencia de la planta a crecer en forma de roseta:"
